"","nbr.val","nbr.null","nbr.na","min","max","range","sum","median","mean","SE.mean","CI.mean.0.95","var","std.dev","coef.var"
"VALUESCORE421",94654,10086,571,0,0.981012658227848,0.981012658227848,45694.3068903395,0.511270491803279,0.482750933825718,0.000575642403314436,0.00112825280587445,0.0313649447618271,0.177101509767215,0.366858968793114
"VALUESCORE427",23129,0,72096,0.00110864745011086,0.998886414253898,0.997777766803787,11608.6278348714,0.5,0.501907900681888,0.00188795794364528,0.00370052323431405,0.082440665220796,0.287124825155882,0.572066757199472
"VALUESCORE434",82985,69694,12240,0,0.996815286624204,0.996815286624204,12015.9208622189,0,0.144796298875929,0.00115230745734295,0.00225851405710054,0.110188518341455,0.331946559466212,2.29250721215358
"VALUESCORE438",3068,0,92157,0.00769230769230769,0.991803278688525,0.984110970996217,1528.03988415238,0.5,0.498057328602469,0.00507097720875098,0.00994285653041027,0.0788930366249294,0.280879042694412,0.5639492214331
"VALUESCORE440",33308,30627,61917,0,0.997422680412371,0.997422680412371,2433.60672597243,0,0.0730637302141358,0.00135436613449433,0.00265460531285655,0.061097118415638,0.247178312996181,3.3830508279792
"VALUESCORE441",8049,0,87176,0.00277777777777778,0.997206703910615,0.994428926132837,4007.26775120461,0.5,0.497859082023184,0.00318980551589997,0.00625284431188694,0.0818974419363611,0.286177291091311,0.5748158493531
"VALUESCORE443",89162,57001,6063,0,0.994736842105263,0.994736842105263,24010.2273680179,0,0.269287671519458,0.00121611146089475,0.00238356702156536,0.131864096781263,0.36313096367738,1.34848714621212
"VALUESCORE444",91929,53673,3296,0,0.982758620689655,0.982758620689655,28677.7036365193,0,0.311954917779148,0.00123153020723203,0.00241378663302317,0.139425648589653,0.373397440523704,1.19695962218507
"VALUESCORE445",10973,0,84252,0.00458715596330275,0.998,0.993412844036697,5480.32779960557,0.5,0.499437510216492,0.00271438059937312,0.00532067515871875,0.0808475501457519,0.284337036183737,0.56931453959172
"VALUESCORE446",91500,65335,3725,0,0.994252873563218,0.994252873563218,21803.8134569746,0,0.238293043245624,0.00124847161744788,0.00244699177514434,0.142619346230923,0.377649766623684,1.58481238679895
"VALUESCORE447",4978,0,90247,0.00256410256410256,0.99740932642487,0.994845223860768,2534.21530472508,0.515625,0.509083026260563,0.0039917168866163,0.00782552442833667,0.079318474833025,0.281635357924081,0.553220876352558
"VALUESCORE451",27316,23491,67909,0,0.99375,0.99375,3489.96092236558,0,0.127762517292634,0.0019179594796216,0.00375929808333784,0.100483778934388,0.316991764773769,2.48110143327651
"VALUESCORE452",7829,0,87396,0.0072463768115942,0.977272727272727,0.970026350461133,3919.89483031894,0.565217391304348,0.500689082937659,0.00291077797604755,0.00570590224384923,0.0663322079459286,0.257550398846378,0.514391880356708
"VALUESCORE454",89113,62294,6112,0,0.982758620689655,0.982758620689655,22450.7787331994,0,0.251936066939721,0.00128856901300267,0.00252558316083226,0.147964125354533,0.384661052557356,1.526820106505
"VALUESCORE467",6955,0,88270,0.00462962962962965,0.944444444444444,0.939814814814815,3533.48661331072,0.573170731707317,0.508049836565164,0.00273235012168437,0.00535624009865802,0.0519242021388439,0.227868826606107,0.448516681250579
"VALUESCORE471",93340,25435,1885,0,0.988095238095238,0.988095238095238,41709.0986331134,0.572614107883817,0.446851281691808,0.000915150000203778,0.00179368430027859,0.0781722054649636,0.279592928138327,0.62569570591757
"VALUESCORE480",69954,58281,25271,0,0.995833333333333,0.995833333333333,10357.959347211,0,0.148068149744275,0.00125303347328208,0.00245594297309941,0.109834277688858,0.331412549081741,2.23824333358738
"VALUESCORE481",5490,5134,89735,0,0.995833333333333,0.995833333333333,334.826233579765,0,0.0609883849872068,0.00312818522948024,0.0061324826390073,0.0537226301363616,0.231781427505229,3.80041917086095
"VALUESCORE483",78136,66896,17089,0,0.994444444444444,0.994444444444444,10328.9987498426,0,0.132192571283948,0.00115459204169359,0.00226299387387298,0.104161756312343,0.322741005006093,2.44144585335926
"VALUESCORE487",33481,0,61744,0.00609756097560976,0.998520710059172,0.992423149083562,16514.841769665,0.451219512195122,0.493260110799109,0.00144348577781959,0.00282928242051779,0.069762725518084,0.264126343854762,0.535470714278644
"VALUESCORE490",26678,0,68547,0.00151057401812693,0.997959183673469,0.996448609655342,13280.6052052618,0.5,0.497811125468992,0.00175792063886652,0.00344561747117547,0.0824426224977652,0.287128233543421,0.576781471633273
"VALUESCORE495",44262,0,50963,0.000675675675675676,0.999324324324324,0.998648648648649,22151.0051937832,0.5,0.500451972206028,0.00137303356914073,0.00269116993798589,0.0834436599571232,0.288866162707097,0.577210559154667
"VALUESCORE496",29549,0,65676,0.00102669404517454,0.998973305954825,0.997946611909651,14799.7737088684,0.5,0.500855315200798,0.0016882751429375,0.0033090940253538,0.0842227156436431,0.290211501570222,0.579431809471511
"VALUESCORE497",94462,0,763,0.000419815281276215,0.780487804878049,0.780067989596773,47246.6113418249,0.506622516556291,0.500165265840496,0.000319946645453181,0.000627091937228289,0.00966968348349666,0.0983345487786295,0.196604113669078
"VALUESCORE498",94076,25522,1149,0,0.961538461538462,0.961538461538462,41767.5839908213,0.555084745762712,0.443977039742562,0.000911574821927597,0.00178667680748976,0.078174207279253,0.279596507988303,0.62975443088324
"VALUESCORE499",27874,0,67351,0.00161290322580643,0.994736842105263,0.993123938879457,13924.3504963814,0.5,0.499546189868029,0.00172069782809872,0.00337265222620581,0.0825293675094937,0.287279250050354,0.575080454774858
"VALUESCORE500",15496,0,79729,0.00274725274725274,0.988888888888889,0.986141636141636,7788.17158705084,0.517804311073542,0.502592384296002,0.00225055217839042,0.00441134579904305,0.0784870092282666,0.280155330536948,0.557420564438857
"VALUESCORE501",82212,0,13013,0.000584795321637427,0.999335106382979,0.998750311061341,41155.0282291226,0.5,0.500596363415591,0.00100027967927417,0.00196054101021862,0.0822579924156399,0.286806541793663,0.572929734920104
"VALUESCORE502",37495,0,57730,0.000758725341426403,0.999174917491749,0.998416192150323,18574.5378460533,0.5,0.495387060836198,0.00148386857500743,0.00290842285317245,0.0825589637163076,0.287330756648688,0.580012639336366
"VALUESCORE503",94076,28643,1149,0,0.964285714285714,0.964285714285714,41211.3405104582,0.588235294117647,0.438064336392472,0.000962772237208082,0.00188702318859278,0.0872019024983697,0.295299682523313,0.674101171885281
"VALUESCORE504",11856,0,83369,0.00252525252525253,0.996774193548387,0.994248941023135,5958.03544871826,0.5,0.502533354311595,0.00262440078509846,0.00514425623407739,0.0816579567246663,0.285758563694365,0.568636014391158
"isin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fyear",95225,0,0,2002,2023,21,191970911,2017,2015.97176161722,0.016747586705008,0.0328250839998301,26.7088661155666,5.16806212381068,0.0025635587869866
"gvkey",89115,0,6110,1004,353138,352134,13377458595,160555,150114.555293722,364.052535211294,713.539548933538,11810789545.6109,108677.456473782,0.723963484161404
"curcd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"conm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gsector",88772,0,6453,10,60,50,2886385,30,32.5145879331321,0.0471695187537773,0.092451818476707,197.514459774325,14.0539837688224,0.43223625646818
"ggroup",88772,0,6453,1010,6020,5010,290150240,3030,3268.48826206461,4.71718076962964,9.24563047827765,1975336.29366312,1405.46657507858,0.430005085651061
"loc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"act",70335,19,24890,0,218470581,218470581,24842508489.855,2029.4,353202.651451695,13069.9542718953,25617.0804919378,12014885267924.7,3466249.45263965,9.81376962600096
"ap",83399,1054,11826,0,42263000,42263000,5511483326.958,323.4,66085.7243726903,2115.26315540805,4145.89977232669,373155332928.46,610864.414521307,9.24351545390255
"artfs",13098,118,82127,0,71778499,71778499,2906503286.188,797.5,221904.358389678,16957.2329413681,33238.6376002312,3766300416766.38,1940695.85890381,8.74564101844194
"at",89078,7,6147,0,1992544687,1992544687,205490212576.718,7614.1695,2306857.05310759,101036.793634636,198031.167454004,909346854275252,30155378.5297955,13.0720620461389
"caps",84730,15077,10495,-11613578,76242898,87856476,6404158753.5687,583.099,75583.131754617,2783.65781369129,5455.94699900685,656551657294.182,810278.752833975,10.7203649018483
